date,exit_date,hold_days,S0,S1,K,iv0,iv1,C0,C1,ret,cum
2021-04-14,2021-04-15,1,659.8400268554688,638.0800170898438,659.8400268554688,0.6630815508054242,0.6349214289784546,48.98345813131186,35.18278896771801,-0.28274142231032073,0.7172585776896793
2021-04-19,2021-04-20,1,650.8800048828125,665.5999755859375,650.8800048828125,0.6,0.6,43.804467534425726,51.32309388404019,0.1706406287487825,0.8396520323621036
2021-06-18,2021-06-21,1,555.0399780273438,520.6400146484375,555.0399780273438,1.1236309730193612,1.1274762593730105,69.19515604991508,50.19282215098235,-0.2756194240132226,0.6082276228309289
2021-06-29,2021-06-30,1,476.32000732421875,471.3599853515625,476.32000732421875,0.6978778447641516,0.691969273192088,37.180799568967956,33.56645143255221,-0.0982100702060309,0.5484935452914561
2021-07-06,2021-07-07,1,473.1199951171875,474.0799865722656,473.1199951171875,0.6493683152776069,0.6365545186886499,34.40917068896405,33.64811551549843,-0.02311780052315282,0.5358135809231713
2021-09-01,2021-09-02,1,397.1199951171875,396.32000732421875,397.1199951171875,0.6259371242719864,0.6198205678766215,27.858937267058735,26.65965139533924,-0.044048514744945755,0.5122117885033348
2021-09-07,2021-09-08,1,408.79998779296875,408.1600036621094,408.79998779296875,0.6304448254491674,0.6140068586509885,28.880911704816896,27.285392482749586,-0.05624476645248022,0.4834025560847576
2022-03-09,2022-03-10,1,432.4800109863281,413.2799987792969,432.4800109863281,1.2474769169904685,1.258827649204623,59.748029621315595,48.7452696876683,-0.1851526825802131,0.3938992760595328
2022-03-14,2022-03-15,1,460.9599914550781,459.20001220703125,460.9599914550781,1.2724897691567083,1.2403473528220017,64.93588001331867,61.189568393005345,-0.058692474785048465,0.3707803527315598
2022-03-21,2022-03-22,1,416.1600036621094,407.1199951171875,416.1600036621094,1.2092569529768755,1.2070679780332716,55.76317375603159,49.64917568740975,-0.11064221827421583,0.3297563920128438
2022-03-28,2022-03-29,1,411.67999267578125,397.6000061035156,411.67999267578125,1.0492467017968572,1.0583359483077523,47.9813062062166,39.964345284793154,-0.16808509115962222,0.2743292588008968
2022-04-04,2022-04-05,1,390.8800048828125,396.9599914550781,390.8800048828125,0.922132708354675,0.9232983716213703,40.12440652885783,42.88660192666893,0.06784077888664841,0.2929399693893466
2022-04-11,2022-04-12,1,417.6000061035156,411.8399963378906,417.6000061035156,0.8959892602531806,0.8105244300849195,41.6718727105432,33.991823001279386,-0.18529816587822134,0.23865873034907836
2022-04-18,2022-04-19,1,404.9599914550781,395.67999267578125,404.9599914550781,0.7787512614457571,0.7140666615632272,35.2060609648195,26.921311608695873,-0.23632167840084017,0.18225849862797064
