date,exit_date,hold_days,S0,S1,K,iv0,iv1,C0,C1,ret,cum
2021-04-14,2021-04-19,3,659.8400268554688,650.8800048828125,659.8400268554688,0.6630815508054242,0.6,48.98345813131186,37.27941551679072,-0.23993867564731053,0.7600613243526895
2021-04-19,2021-04-22,3,650.8800048828125,668.7999877929688,650.8800048828125,0.6,0.6609516079219651,43.804467534425726,55.704660243816306,0.27066618793022124,0.9657842256084274
2021-06-18,2021-06-23,3,555.0399780273438,484.6400146484375,555.0399780273438,1.1236309730193612,1.0873507450421693,69.19515604991508,30.42519084079865,-0.5612988333626862,0.4236906664943318
2021-06-29,2021-07-02,3,476.32000732421875,462.55999755859375,476.32000732421875,0.6978778447641516,0.6380962157643555,37.180799568967956,25.229024356220094,-0.3224501934144288,0.2870715291353462
2021-07-06,2021-07-09,3,473.1199951171875,470.8800048828125,473.1199951171875,0.6493683152776069,0.7074422117830055,34.40917068896405,34.146853109133644,-0.00862347869995439,0.28459597391848424
2021-09-01,2021-09-07,3,397.1199951171875,408.79998779296875,397.1199951171875,0.6259371242719864,0.6304448254491674,27.858937267058735,33.18089626436782,0.1900323766586005,0.3386784232296829
2021-09-07,2021-09-10,3,408.79998779296875,432.9599914550781,408.79998779296875,0.6304448254491674,0.633028758554329,28.880911704816896,42.02237712362333,0.4540225267512812,0.4924460567005633
2022-03-09,2022-03-14,3,432.4800109863281,460.9599914550781,432.4800109863281,1.2474769169904685,1.2724897691567083,59.748029621315595,74.84060983980297,0.25160381495665196,0.6163473632267847
2022-03-14,2022-03-17,3,460.9599914550781,418.3999938964844,460.9599914550781,1.2724897691567083,1.2612865937077995,64.93588001331867,39.10565802748181,-0.39878042556039817,0.37056009942617824
2022-03-21,2022-03-24,3,416.1600036621094,403.20001220703125,416.1600036621094,1.2092569529768755,1.1783579044033665,55.76317375603159,44.32739378104168,-0.2060776382460292,0.2941959493082177
2022-03-28,2022-03-31,3,411.67999267578125,411.20001220703125,411.67999267578125,1.0492467017968572,0.9933547014143195,47.9813062062166,42.6913661803118,-0.11125002118886496,0.26146664371400025
2022-04-04,2022-04-07,3,390.8800048828125,384.79998779296875,390.8800048828125,0.922132708354675,0.8970728565966385,40.12440652885783,33.62676692365659,-0.16293733857541504,0.21886396466099478
2022-04-11,2022-04-14,3,417.6000061035156,399.8399963378906,417.6000061035156,0.8959892602531806,0.7932857427869365,41.6718727105432,25.971407570795463,-0.37776408854492005,0.1361850185355065
2022-04-18,2022-04-21,3,404.9599914550781,397.760009765625,404.9599914550781,0.7787512614457571,0.7063984552828331,35.2060609648195,26.45330106173722,-0.2496151436205455,0.10219117557479938
2023-06-15,2023-06-21,3,113.19999694824219,107.16000366210938,113.19999694824219,0.619321792840505,0.6,7.858920544369866,4.368564981041551,-0.4451265875666356,0.056703166311766015
2023-06-20,2023-06-23,3,109.4000015258789,105.91999816894531,109.4000015258789,0.6,0.6,7.362660980758349,5.227081327986895,-0.29105541044910255,0.04019940296713123
2023-06-26,2023-06-29,3,105.72000122070312,101.4800033569336,105.72000122070312,0.6,0.6,7.114995585162475,4.662109554378588,-0.3457487776238548,0.026300508530036844
2023-07-03,2023-07-07,3,98.95999908447266,103.31999969482422,98.95999908447266,0.6,0.6,6.660044915472639,8.863828475714158,0.32989620088322247,0.03497694637539279
2023-07-10,2023-07-13,3,102.63999938964844,96.83999633789062,102.63999938964844,0.6,0.6,6.90771031106852,3.8335078778311313,-0.4460392814405466,0.019375854347128057
2023-07-17,2023-07-20,3,95.4800033569336,95.95999908447266,95.4800033569336,0.6,0.6,6.425839902684807,6.328114718709735,-0.016208157292284975,0.0190618074521974
2023-07-24,2023-07-27,3,93.19999694824219,95.19999694824219,93.19999694824219,0.6,0.6,6.272394619439723,7.049253529057502,0.12285364071483951,0.021403619896305112
2023-07-31,2023-08-03,3,90.4000015258789,99.76000213623047,90.4000015258789,0.6,0.6,6.083953881277033,11.892786211217114,0.9537791523891035,0.04181794633906155
2023-08-07,2023-08-10,3,97.91999816894531,99.19999694824219,97.91999816894531,0.6128421157491772,0.6,6.728338585607794,6.930331134480909,0.029021162922030497,0.04303155177283219
2023-08-14,2023-08-17,3,93.68000030517578,105.5199966430664,93.68000030517578,0.6090158790484275,0.6345558089057858,6.397581760031478,14.270884477637338,1.2296685577344024,0.09594609797840402
2023-08-21,2023-08-24,3,100.12000274658203,101.19999694824219,100.12000274658203,0.6413842562548053,0.6354383727125592,7.193683446375957,7.326161671652315,0.017415909771939964,0.09761708656376561
2024-01-30,2024-02-02,3,57.599998474121094,59.959999084472656,57.599998474121094,0.6,0.6,3.876501419945889,5.045573531861933,0.3005791780446099,0.1269587502062118
2024-02-06,2024-02-09,3,56.20000076293945,56.08000183105469,56.20000076293945,0.6,0.6,3.7822810508645404,3.5073399331976347,-0.073691879310254,0.11760292130863496
2024-02-12,2024-02-15,3,57.279998779296875,57.68000030517578,57.279998779296875,0.6,0.6,3.8549653209141184,3.858143000543656,-0.00017569177281628878,0.11758225944290188
2024-04-03,2024-04-08,3,53.439998626708984,54.79999923706055,53.439998626708984,0.6,0.6,3.5965318758023592,4.16874202637965,0.1581005363881658,0.13617207773055715
2024-04-08,2024-04-11,3,54.79999923706055,54.36000061035156,54.79999923706055,0.6,0.6,3.688060425052644,3.2508580551410766,-0.11954533807030188,0.11989334066252226
2024-06-25,2024-06-28,3,44.0,43.68000030517578,44.0,0.6,0.6,2.9612164409041135,2.62738662940777,-0.11373401257843196,0.10625738994754072
